S. No.,City,Gender,Marital Status,Age,Education,Role,Number of investors in family,Household Income,Percentage of Investment,Source of Awareness about Investment,Knowledge level about different investment product,Knowledge level about sharemarket,Knowledge about Govt. Schemes,Investment Influencer,Investment Experience,Risk Level,Return Earned,Reason for Investment
434,San Francisco,Women,Never Married,Prime Working,Middle,Top Executives,1,US$ 13676 to US$ 19145,Above 26%,Flash Board,3,4,3,Social Media,Above 9 Years,High,Negative Return,Fun and Exitement
435,New York,Men,Never Married,Early Working,Primary,Training and Development Executive,1,US$ 2736 to US$ 8205,11% to 15%,Workers,5,4,1,Intermediaries,Above 9 Years,Low,10 to 12 ,Tax
436,Seattle,Women,Married,Children,Middle,Marketing and Sales Executive,1,US$ 19146 to US$ 24615,16% to 20%,Workers,9,8,4,Institutions,7 Years to 9 Years,Medium,Negative Return,Inflation
437,San Francisco,Men,Never Married,Children,Uneducated,Training and Development Executive,3,US$ 8206 to US$ 13675,Upto 5%,Magazine,10,6,3,Intermediaries,Less Than 1 Year,High,Negative Return,Tax
438,New York,Men,Never Married,Prime Working,Primary,Training and Development Executive,3,US$ 2736 to US$ 8205,16% to 20%,Friends,4,10,1,Intermediaries,Less Than 1 Year,Low,1 to 4,Fun and Exitement
439,Houston,Men,Never Married,Prime Working,Teritary,Marketing and Sales Executive,2,Above US$ 30086,Above 26%,Television,9,6,1,Intermediaries,1 Year to 3 Years,High,5 to 6,Status
440,San Francisco,Men,Married,Mature Working,Middle,Computer and Information System Executive,4,US$ 19146 to US$ 24615,16% to 20%,Flash Board,7,2,3,Social Media,4 Years to 6 Years,Medium,5 to 6,Others
441,Houston,Women,Married,Mature Working,Teritary,Training and Development Executive,1,Above US$ 30086,16% to 20%,Friends,5,1,6,Friends Reference,7 Years to 9 Years,Low,7 to 9,Fun and Exitement
442,Houston,Men,Never Married,Mature Working,Teritary,Advertising and Promotion Executive,5,US$ 13676 to US$ 19145,Above 26%,Friends,7,8,4,Intermediaries,4 Years to 6 Years,Medium,5 to 6,Inflation
443,Memphis,Men,Married,Early Working,Middle,Top Executives,1,US$ 24616 to US$ 30085,21% to 25%,Others,6,8,6,Institutions,4 Years to 6 Years,Low,More than 13,Return
444,San Francisco,Men,Never Married,Prime Working,Teritary,Training and Development Executive,1,US$ 13676 to US$ 19145,21% to 25%,Workers,2,1,1,Others,Less Than 1 Year,Low,1 to 4,Fun and Exitement
445,Seattle,Women,Never Married,Mature Working,Secondary,Marketing and Sales Executive,1,US$ 13676 to US$ 19145,Above 26%,Flash Board,8,2,1,Institutions,1 Year to 3 Years,High,1 to 4,Fun and Exitement
446,Houston,Women,Married,Children,Uneducated,Training and Development Executive,4,US$ 8206 to US$ 13675,Don't Want to Reveal,Friends,3,3,6,Social Media,4 Years to 6 Years,Medium,10 to 12 ,Inflation
447,New York,Men,Never Married,Prime Working,Uneducated,Training and Development Executive,3,US$ 13676 to US$ 19145,Upto 5%,Workers,1,8,4,Social Media,7 Years to 9 Years,Low,1 to 4,Fun and Exitement
448,New York,Men,Never Married,Elderly,Primary,Training and Development Executive,1,US$ 8206 to US$ 13675,6% to 10%,Flash Board,8,8,2,Others,1 Year to 3 Years,Medium,Negative Return,Status
449,Memphis,Women,Never Married,Early Working,Middle,Training and Development Executive,5,US$ 2736 to US$ 8205,Upto 5%,Flash Board,9,8,4,Institutions,1 Year to 3 Years,High,10 to 12 ,Others
450,New York,Men,Never Married,Prime Working,Secondary,Training and Development Executive,5,US$ 2736 to US$ 8205,Upto 5%,Flash Board,1,10,3,Workers Reference,Less Than 1 Year,High,More than 13,Tax
451,Memphis,Women,Never Married,Children,Teritary,Training and Development Executive,1,Above US$ 30086,21% to 25%,Workers,7,8,5,Social Media,4 Years to 6 Years,High,Negative Return,Others
452,San Francisco,Women,Married,Mature Working,Secondary,Marketing and Sales Executive,3,US$ 19146 to US$ 24615,Upto 5%,Others,1,3,4,Friends Reference,7 Years to 9 Years,Low,Negative Return,Return
453,Houston,Men,Married,Prime Working,Middle,Marketing and Sales Executive,2,US$ 19146 to US$ 24615,16% to 20%,Television,10,1,1,Intermediaries,4 Years to 6 Years,Medium,10 to 12 ,Tax
454,New York,Women,Never Married,Mature Working,Middle,Training and Development Executive,1,US$ 13676 to US$ 19145,Upto 5%,Television,10,5,2,Institutions,Less Than 1 Year,Low,5 to 6,Return
455,San Francisco,Women,Married,Elderly,Uneducated,Top Executives,3,US$ 8206 to US$ 13675,16% to 20%,Flash Board,1,1,1,Workers Reference,1 Year to 3 Years,Medium,Negative Return,Fun and Exitement
456,Memphis,Men,Never Married,Elderly,Middle,Advertising and Promotion Executive,1,US$ 19146 to US$ 24615,21% to 25%,Magazine,7,3,5,Others,Less Than 1 Year,Low,More than 13,Others
457,New York,Men,Never Married,Elderly,Teritary,Top Executives,4,Above US$ 30086,6% to 10%,Television,7,10,2,Social Media,4 Years to 6 Years,Low,5 to 6,Inflation
458,Seattle,Men,Married,Elderly,Middle,Training and Development Executive,1,US$ 24616 to US$ 30085,Don't Want to Reveal,Family,2,2,1,Friends Reference,Above 9 Years,Medium,7 to 9,Fun and Exitement
459,Seattle,Women,Never Married,Elderly,Secondary,Training and Development Executive,5,US$ 19146 to US$ 24615,21% to 25%,Magazine,6,4,6,Friends Reference,7 Years to 9 Years,Low,Negative Return,Fun and Exitement
460,San Francisco,Women,Never Married,Mature Working,Uneducated,Top Executives,1,US$ 13676 to US$ 19145,Above 26%,Workers,9,6,1,Social Media,4 Years to 6 Years,Medium,1 to 4,Others
461,Memphis,Women,Never Married,Mature Working,Teritary,Training and Development Executive,3,US$ 2735,16% to 20%,Friends,6,10,4,Intermediaries,4 Years to 6 Years,High,5 to 6,Return
462,San Francisco,Women,Married,Children,Uneducated,Training and Development Executive,2,US$ 8206 to US$ 13675,Upto 5%,Magazine,2,5,3,Friends Reference,1 Year to 3 Years,Low,Negative Return,Inflation
463,San Francisco,Women,Married,Early Working,Secondary,Computer and Information System Executive,5,US$ 13676 to US$ 19145,6% to 10%,Workers,1,5,4,Friends Reference,4 Years to 6 Years,Medium,5 to 6,Fun and Exitement
464,Memphis,Men,Married,Early Working,Uneducated,Training and Development Executive,3,Above US$ 30086,Upto 5%,Family,8,1,3,Institutions,1 Year to 3 Years,Medium,5 to 6,Return
465,New York,Men,Never Married,Early Working,Secondary,Advertising and Promotion Executive,3,Above US$ 30086,Above 26%,Family,9,2,5,Workers Reference,Less Than 1 Year,Low,10 to 12 ,Status
466,New York,Men,Married,Early Working,Secondary,Computer and Information System Executive,1,Above US$ 30086,Above 26%,Television,7,3,4,Workers Reference,Above 9 Years,High,7 to 9,Fun and Exitement
467,Seattle,Men,Married,Children,Secondary,Advertising and Promotion Executive,2,US$ 8206 to US$ 13675,11% to 15%,Friends,1,2,1,Intermediaries,1 Year to 3 Years,High,10 to 12 ,Return
468,San Francisco,Men,Never Married,Prime Working,Uneducated,Training and Development Executive,4,US$ 19146 to US$ 24615,Upto 5%,Flash Board,9,9,3,Institutions,4 Years to 6 Years,Low,Negative Return,Return
469,Memphis,Men,Married,Early Working,Uneducated,Top Executives,2,US$ 2736 to US$ 8205,21% to 25%,Magazine,10,8,6,Institutions,4 Years to 6 Years,Medium,1 to 4,Tax
470,San Francisco,Men,Never Married,Elderly,Uneducated,Training and Development Executive,4,US$ 13676 to US$ 19145,Upto 5%,Family,8,5,2,Intermediaries,1 Year to 3 Years,High,5 to 6,Fun and Exitement
471,Houston,Women,Never Married,Prime Working,Secondary,Advertising and Promotion Executive,2,US$ 19146 to US$ 24615,Above 26%,Flash Board,9,6,6,Institutions,4 Years to 6 Years,High,1 to 4,Return
472,San Francisco,Men,Never Married,Prime Working,Teritary,Computer and Information System Executive,5,US$ 24616 to US$ 30085,21% to 25%,Workers,8,3,4,Social Media,4 Years to 6 Years,Medium,Negative Return,Return
473,San Francisco,Women,Married,Early Working,Secondary,Top Executives,4,Above US$ 30086,21% to 25%,Others,8,10,5,Family Reference,4 Years to 6 Years,Low,7 to 9,Status
474,Houston,Women,Married,Elderly,Uneducated,Marketing and Sales Executive,3,US$ 24616 to US$ 30085,16% to 20%,Others,3,4,5,Social Media,4 Years to 6 Years,Medium,1 to 4,Tax
475,Seattle,Women,Never Married,Children,Secondary,Training and Development Executive,4,US$ 19146 to US$ 24615,11% to 15%,Others,3,4,5,Friends Reference,1 Year to 3 Years,Low,More than 13,Tax
476,Memphis,Men,Never Married,Prime Working,Secondary,Training and Development Executive,2,US$ 8206 to US$ 13675,6% to 10%,Magazine,10,5,3,Workers Reference,7 Years to 9 Years,Low,7 to 9,Others
477,Seattle,Men,Married,Elderly,Primary,Computer and Information System Executive,3,US$ 8206 to US$ 13675,16% to 20%,Others,5,4,4,Institutions,7 Years to 9 Years,Low,More than 13,Inflation
478,Memphis,Women,Never Married,Elderly,Teritary,Training and Development Executive,3,US$ 13676 to US$ 19145,6% to 10%,Magazine,8,7,6,Others,Less Than 1 Year,Medium,5 to 6,Tax
479,Seattle,Women,Married,Mature Working,Uneducated,Advertising and Promotion Executive,4,US$ 2735,Don't Want to Reveal,Others,6,4,1,Social Media,1 Year to 3 Years,Medium,7 to 9,Status
480,San Francisco,Men,Married,Early Working,Primary,Advertising and Promotion Executive,3,US$ 19146 to US$ 24615,Don't Want to Reveal,Flash Board,8,6,1,Workers Reference,7 Years to 9 Years,Medium,Negative Return,Others
481,Seattle,Women,Never Married,Elderly,Uneducated,Computer and Information System Executive,2,US$ 2735,21% to 25%,Magazine,2,3,1,Institutions,Above 9 Years,Low,More than 13,Status
482,Memphis,Men,Never Married,Children,Middle,Training and Development Executive,5,US$ 8206 to US$ 13675,11% to 15%,Others,5,2,4,Intermediaries,4 Years to 6 Years,Medium,Negative Return,Others
483,Houston,Women,Married,Mature Working,Teritary,Marketing and Sales Executive,1,US$ 8206 to US$ 13675,16% to 20%,Friends,3,5,6,Friends Reference,Less Than 1 Year,Medium,5 to 6,Inflation
484,New York,Women,Never Married,Prime Working,Teritary,Marketing and Sales Executive,1,US$ 24616 to US$ 30085,16% to 20%,Television,2,1,1,Friends Reference,4 Years to 6 Years,High,Negative Return,Others
485,Houston,Men,Married,Prime Working,Middle,Top Executives,1,US$ 8206 to US$ 13675,6% to 10%,Television,1,10,2,Others,Above 9 Years,Low,1 to 4,Return
486,New York,Men,Never Married,Children,Teritary,Computer and Information System Executive,3,US$ 13676 to US$ 19145,Don't Want to Reveal,Magazine,8,1,2,Family Reference,Above 9 Years,Medium,Negative Return,Inflation
487,Memphis,Men,Never Married,Early Working,Primary,Top Executives,1,US$ 19146 to US$ 24615,21% to 25%,Family,5,1,6,Social Media,Less Than 1 Year,High,5 to 6,Inflation
488,San Francisco,Women,Never Married,Mature Working,Middle,Training and Development Executive,2,Above US$ 30086,Above 26%,Television,9,8,1,Institutions,1 Year to 3 Years,Low,10 to 12 ,Tax
489,Seattle,Women,Married,Early Working,Middle,Training and Development Executive,5,US$ 2735,Above 26%,Flash Board,6,10,5,Friends Reference,1 Year to 3 Years,Low,10 to 12 ,Status
490,Seattle,Women,Married,Elderly,Middle,Computer and Information System Executive,5,Above US$ 30086,Don't Want to Reveal,Workers,5,2,3,Institutions,Above 9 Years,Low,More than 13,Others
491,Seattle,Men,Married,Early Working,Middle,Marketing and Sales Executive,2,US$ 2735,11% to 15%,Flash Board,8,7,4,Family Reference,4 Years to 6 Years,Medium,1 to 4,Status
492,Houston,Women,Never Married,Early Working,Primary,Advertising and Promotion Executive,2,US$ 24616 to US$ 30085,Upto 5%,Friends,3,2,6,Friends Reference,4 Years to 6 Years,Low,More than 13,Status
493,New York,Women,Never Married,Mature Working,Middle,Top Executives,1,Above US$ 30086,16% to 20%,Others,6,7,6,Institutions,7 Years to 9 Years,High,10 to 12 ,Inflation
494,Memphis,Women,Married,Elderly,Secondary,Training and Development Executive,4,US$ 8206 to US$ 13675,21% to 25%,Flash Board,9,5,4,Friends Reference,1 Year to 3 Years,Low,5 to 6,Status
495,Seattle,Women,Never Married,Children,Middle,Training and Development Executive,4,Above US$ 30086,11% to 15%,Family,9,7,3,Social Media,Above 9 Years,High,Negative Return,Return
496,Seattle,Men,Married,Early Working,Primary,Training and Development Executive,1,US$ 8206 to US$ 13675,11% to 15%,Magazine,6,5,2,Intermediaries,4 Years to 6 Years,Medium,7 to 9,Fun and Exitement
497,Seattle,Men,Never Married,Prime Working,Middle,Training and Development Executive,5,US$ 2735,21% to 25%,Friends,6,1,3,Social Media,7 Years to 9 Years,Low,7 to 9,Status
498,San Francisco,Men,Married,Mature Working,Teritary,Training and Development Executive,5,US$ 19146 to US$ 24615,Don't Want to Reveal,Workers,10,3,3,Social Media,Less Than 1 Year,Low,7 to 9,Others
499,Memphis,Men,Married,Children,Secondary,Marketing and Sales Executive,3,US$ 8206 to US$ 13675,Upto 5%,Family,6,8,4,Family Reference,7 Years to 9 Years,Medium,10 to 12 ,Inflation
500,San Francisco,Women,Married,Mature Working,Primary,Training and Development Executive,4,US$ 2735,Upto 5%,Others,6,7,3,Social Media,7 Years to 9 Years,Medium,Negative Return,Inflation
501,San Francisco,Women,Married,Mature Working,Primary,Training and Development Executive,5,US$ 19146 to US$ 24615,21% to 25%,Friends,1,5,4,Friends Reference,7 Years to 9 Years,High,More than 13,Status
502,Houston,Men,Married,Children,Middle,Marketing and Sales Executive,3,US$ 8206 to US$ 13675,16% to 20%,Flash Board,3,10,5,Others,7 Years to 9 Years,Medium,More than 13,Tax
503,Memphis,Men,Married,Children,Secondary,Computer and Information System Executive,5,US$ 19146 to US$ 24615,Above 26%,Flash Board,6,3,3,Others,7 Years to 9 Years,Medium,7 to 9,Return
504,Houston,Women,Married,Mature Working,Middle,Training and Development Executive,1,US$ 19146 to US$ 24615,11% to 15%,Family,3,9,2,Friends Reference,7 Years to 9 Years,High,More than 13,Return
505,San Francisco,Men,Married,Early Working,Teritary,Top Executives,5,Above US$ 30086,Above 26%,Workers,1,4,2,Workers Reference,1 Year to 3 Years,High,1 to 4,Inflation
506,San Francisco,Men,Married,Mature Working,Middle,Advertising and Promotion Executive,4,US$ 8206 to US$ 13675,21% to 25%,Workers,8,1,3,Family Reference,4 Years to 6 Years,High,10 to 12 ,Tax
507,Houston,Women,Married,Early Working,Teritary,Advertising and Promotion Executive,4,US$ 24616 to US$ 30085,6% to 10%,Family,5,5,2,Social Media,7 Years to 9 Years,Medium,7 to 9,Others
508,Memphis,Men,Never Married,Prime Working,Uneducated,Training and Development Executive,3,US$ 24616 to US$ 30085,21% to 25%,Others,3,5,1,Workers Reference,7 Years to 9 Years,High,5 to 6,Inflation
509,Houston,Women,Married,Mature Working,Secondary,Top Executives,4,Above US$ 30086,Upto 5%,Magazine,7,5,3,Workers Reference,4 Years to 6 Years,High,Negative Return,Inflation
510,Seattle,Men,Never Married,Mature Working,Primary,Top Executives,5,US$ 2735,6% to 10%,Family,3,4,6,Friends Reference,4 Years to 6 Years,Medium,More than 13,Others
511,Houston,Women,Never Married,Mature Working,Secondary,Computer and Information System Executive,1,US$ 19146 to US$ 24615,Above 26%,Flash Board,9,7,4,Intermediaries,4 Years to 6 Years,Medium,5 to 6,Others
512,San Francisco,Women,Never Married,Early Working,Uneducated,Marketing and Sales Executive,2,US$ 2735,21% to 25%,Flash Board,6,3,1,Institutions,Above 9 Years,Low,More than 13,Tax
513,Houston,Women,Never Married,Early Working,Middle,Training and Development Executive,5,US$ 24616 to US$ 30085,6% to 10%,Television,2,3,6,Social Media,Less Than 1 Year,Low,More than 13,Status
514,New York,Women,Married,Prime Working,Teritary,Training and Development Executive,2,US$ 13676 to US$ 19145,Above 26%,Workers,9,7,4,Institutions,7 Years to 9 Years,High,5 to 6,Others
515,New York,Women,Never Married,Mature Working,Uneducated,Advertising and Promotion Executive,2,US$ 8206 to US$ 13675,16% to 20%,Others,3,4,2,Workers Reference,4 Years to 6 Years,Medium,10 to 12 ,Tax
516,Seattle,Women,Never Married,Children,Uneducated,Marketing and Sales Executive,5,US$ 13676 to US$ 19145,11% to 15%,Family,3,5,2,Family Reference,Above 9 Years,Low,1 to 4,Status
517,New York,Men,Married,Mature Working,Primary,Top Executives,2,US$ 24616 to US$ 30085,Don't Want to Reveal,Friends,4,10,2,Workers Reference,Above 9 Years,Low,1 to 4,Others
518,San Francisco,Women,Married,Prime Working,Teritary,Computer and Information System Executive,3,US$ 8206 to US$ 13675,Upto 5%,Friends,10,2,2,Family Reference,Less Than 1 Year,High,7 to 9,Return
519,Memphis,Men,Married,Children,Uneducated,Top Executives,4,US$ 2735,6% to 10%,Friends,5,8,4,Family Reference,Above 9 Years,Low,5 to 6,Tax
520,Houston,Women,Never Married,Children,Primary,Training and Development Executive,3,US$ 2736 to US$ 8205,Upto 5%,Magazine,10,4,1,Institutions,1 Year to 3 Years,High,1 to 4,Fun and Exitement
521,Houston,Women,Never Married,Early Working,Middle,Top Executives,5,Above US$ 30086,16% to 20%,Family,3,3,5,Friends Reference,Above 9 Years,Low,7 to 9,Status
522,Seattle,Women,Married,Prime Working,Middle,Advertising and Promotion Executive,2,US$ 2735,11% to 15%,Family,3,5,6,Family Reference,Above 9 Years,Low,1 to 4,Return
523,San Francisco,Women,Married,Mature Working,Teritary,Computer and Information System Executive,1,US$ 2736 to US$ 8205,11% to 15%,Television,1,2,5,Family Reference,1 Year to 3 Years,Medium,5 to 6,Inflation
524,New York,Men,Never Married,Elderly,Uneducated,Marketing and Sales Executive,5,US$ 19146 to US$ 24615,Upto 5%,Workers,2,3,5,Friends Reference,Less Than 1 Year,Medium,More than 13,Return
525,San Francisco,Men,Married,Early Working,Uneducated,Marketing and Sales Executive,1,US$ 13676 to US$ 19145,Above 26%,Family,9,9,5,Workers Reference,7 Years to 9 Years,Low,Negative Return,Inflation
526,Seattle,Men,Married,Children,Secondary,Advertising and Promotion Executive,5,US$ 8206 to US$ 13675,11% to 15%,Television,2,1,2,Intermediaries,1 Year to 3 Years,Low,1 to 4,Fun and Exitement
527,New York,Men,Never Married,Children,Secondary,Advertising and Promotion Executive,2,US$ 2736 to US$ 8205,21% to 25%,Family,7,3,6,Intermediaries,1 Year to 3 Years,High,5 to 6,Inflation
528,Houston,Men,Never Married,Prime Working,Teritary,Advertising and Promotion Executive,4,US$ 19146 to US$ 24615,21% to 25%,Friends,7,10,2,Family Reference,Above 9 Years,Medium,More than 13,Fun and Exitement
529,Seattle,Women,Married,Children,Teritary,Advertising and Promotion Executive,4,US$ 19146 to US$ 24615,21% to 25%,Flash Board,9,4,4,Others,Less Than 1 Year,Medium,7 to 9,Status
530,Seattle,Men,Never Married,Prime Working,Teritary,Computer and Information System Executive,3,US$ 2736 to US$ 8205,Don't Want to Reveal,Family,7,9,6,Friends Reference,1 Year to 3 Years,High,More than 13,Status
531,San Francisco,Men,Never Married,Children,Primary,Advertising and Promotion Executive,3,US$ 2736 to US$ 8205,11% to 15%,Others,2,6,1,Institutions,Less Than 1 Year,Low,1 to 4,Inflation
532,San Francisco,Men,Never Married,Prime Working,Uneducated,Computer and Information System Executive,1,US$ 13676 to US$ 19145,21% to 25%,Family,7,8,6,Intermediaries,4 Years to 6 Years,Medium,10 to 12 ,Status
533,Seattle,Men,Married,Early Working,Teritary,Computer and Information System Executive,1,US$ 8206 to US$ 13675,Above 26%,Magazine,4,6,6,Others,1 Year to 3 Years,High,1 to 4,Fun and Exitement
534,San Francisco,Men,Never Married,Mature Working,Middle,Advertising and Promotion Executive,5,US$ 2736 to US$ 8205,Don't Want to Reveal,Flash Board,2,9,5,Intermediaries,4 Years to 6 Years,High,7 to 9,Status
535,New York,Women,Never Married,Early Working,Primary,Marketing and Sales Executive,4,US$ 19146 to US$ 24615,6% to 10%,Workers,9,6,5,Intermediaries,Less Than 1 Year,High,10 to 12 ,Return
536,San Francisco,Women,Married,Children,Teritary,Top Executives,2,US$ 8206 to US$ 13675,11% to 15%,Family,7,9,4,Social Media,Less Than 1 Year,High,5 to 6,Return
537,Houston,Women,Married,Mature Working,Teritary,Top Executives,3,Above US$ 30086,16% to 20%,Workers,6,4,1,Workers Reference,Above 9 Years,Low,1 to 4,Tax
538,New York,Women,Never Married,Early Working,Secondary,Top Executives,3,US$ 2735,21% to 25%,Flash Board,3,8,1,Family Reference,1 Year to 3 Years,Medium,Negative Return,Status
539,Memphis,Women,Never Married,Elderly,Uneducated,Top Executives,2,US$ 2735,6% to 10%,Flash Board,6,6,2,Intermediaries,4 Years to 6 Years,High,Negative Return,Tax
540,Seattle,Women,Married,Prime Working,Uneducated,Training and Development Executive,3,US$ 24616 to US$ 30085,21% to 25%,Friends,5,8,5,Workers Reference,Above 9 Years,High,7 to 9,Others
541,Memphis,Women,Never Married,Children,Uneducated,Marketing and Sales Executive,4,US$ 2735,Don't Want to Reveal,Television,7,7,5,Others,Less Than 1 Year,Medium,Negative Return,Tax
542,New York,Women,Married,Elderly,Uneducated,Training and Development Executive,1,Above US$ 30086,Above 26%,Friends,6,7,2,Intermediaries,Less Than 1 Year,Medium,1 to 4,Tax
543,San Francisco,Women,Married,Elderly,Primary,Marketing and Sales Executive,1,US$ 19146 to US$ 24615,21% to 25%,Workers,7,4,4,Workers Reference,4 Years to 6 Years,High,5 to 6,Status
544,San Francisco,Women,Never Married,Children,Middle,Top Executives,4,US$ 2736 to US$ 8205,Upto 5%,Workers,8,9,3,Workers Reference,1 Year to 3 Years,Low,More than 13,Status
545,Seattle,Women,Never Married,Children,Middle,Top Executives,4,US$ 2735,Above 26%,Workers,6,1,2,Friends Reference,Above 9 Years,High,7 to 9,Return
546,New York,Women,Married,Early Working,Uneducated,Marketing and Sales Executive,4,US$ 2735,6% to 10%,Magazine,6,7,3,Others,4 Years to 6 Years,Low,10 to 12 ,Inflation
547,Seattle,Women,Never Married,Prime Working,Secondary,Top Executives,2,US$ 19146 to US$ 24615,6% to 10%,Family,10,2,2,Family Reference,4 Years to 6 Years,Low,More than 13,Return
548,Seattle,Men,Married,Children,Primary,Marketing and Sales Executive,3,US$ 24616 to US$ 30085,Above 26%,Magazine,1,9,5,Intermediaries,1 Year to 3 Years,High,10 to 12 ,Status
549,New York,Men,Married,Early Working,Middle,Marketing and Sales Executive,4,US$ 2735,Don't Want to Reveal,Friends,2,6,3,Family Reference,Less Than 1 Year,Medium,Negative Return,Fun and Exitement
550,Memphis,Women,Never Married,Prime Working,Uneducated,Computer and Information System Executive,3,US$ 8206 to US$ 13675,6% to 10%,Workers,10,1,1,Intermediaries,1 Year to 3 Years,Medium,1 to 4,Return
551,New York,Women,Never Married,Early Working,Secondary,Computer and Information System Executive,4,US$ 2736 to US$ 8205,21% to 25%,Magazine,4,8,6,Family Reference,7 Years to 9 Years,High,7 to 9,Status
552,Memphis,Women,Never Married,Mature Working,Secondary,Advertising and Promotion Executive,1,Above US$ 30086,6% to 10%,Friends,10,3,5,Intermediaries,4 Years to 6 Years,High,More than 13,Status
553,Seattle,Men,Never Married,Early Working,Middle,Marketing and Sales Executive,4,US$ 24616 to US$ 30085,Above 26%,Television,2,6,3,Workers Reference,7 Years to 9 Years,High,More than 13,Inflation
554,New York,Men,Married,Elderly,Primary,Computer and Information System Executive,1,US$ 2735,6% to 10%,Friends,7,1,3,Workers Reference,Less Than 1 Year,High,1 to 4,Return
555,New York,Women,Never Married,Elderly,Uneducated,Top Executives,2,US$ 8206 to US$ 13675,Above 26%,Flash Board,4,9,5,Institutions,Less Than 1 Year,Medium,Negative Return,Fun and Exitement
556,Houston,Men,Never Married,Elderly,Secondary,Computer and Information System Executive,4,US$ 13676 to US$ 19145,16% to 20%,Flash Board,5,4,5,Friends Reference,1 Year to 3 Years,High,More than 13,Tax
557,Memphis,Women,Never Married,Early Working,Teritary,Marketing and Sales Executive,3,US$ 24616 to US$ 30085,Upto 5%,Magazine,4,5,5,Friends Reference,Less Than 1 Year,Low,10 to 12 ,Return
558,Memphis,Women,Never Married,Prime Working,Uneducated,Advertising and Promotion Executive,5,US$ 24616 to US$ 30085,Don't Want to Reveal,Others,8,1,6,Family Reference,Above 9 Years,Medium,More than 13,Others
559,Memphis,Men,Never Married,Mature Working,Primary,Computer and Information System Executive,1,Above US$ 30086,21% to 25%,Workers,3,8,3,Intermediaries,4 Years to 6 Years,Medium,7 to 9,Status
560,Memphis,Women,Never Married,Prime Working,Secondary,Advertising and Promotion Executive,4,US$ 13676 to US$ 19145,6% to 10%,Others,7,8,6,Family Reference,7 Years to 9 Years,High,7 to 9,Tax
561,Houston,Men,Married,Mature Working,Secondary,Training and Development Executive,2,US$ 2736 to US$ 8205,Above 26%,Workers,7,7,2,Friends Reference,Above 9 Years,Medium,More than 13,Tax
562,New York,Men,Never Married,Children,Secondary,Top Executives,3,US$ 8206 to US$ 13675,11% to 15%,Workers,7,2,2,Family Reference,Less Than 1 Year,High,10 to 12 ,Others
563,Seattle,Men,Married,Elderly,Secondary,Computer and Information System Executive,1,US$ 2736 to US$ 8205,21% to 25%,Flash Board,7,1,5,Institutions,1 Year to 3 Years,Low,5 to 6,Status
564,Seattle,Women,Never Married,Elderly,Middle,Marketing and Sales Executive,3,US$ 8206 to US$ 13675,Upto 5%,Friends,2,8,6,Social Media,7 Years to 9 Years,Medium,1 to 4,Others
565,Seattle,Men,Married,Children,Teritary,Top Executives,2,US$ 24616 to US$ 30085,Above 26%,Others,4,5,2,Friends Reference,4 Years to 6 Years,Low,7 to 9,Status
566,New York,Women,Never Married,Mature Working,Teritary,Top Executives,5,Above US$ 30086,21% to 25%,Workers,4,4,5,Institutions,7 Years to 9 Years,Medium,7 to 9,Return
567,Houston,Men,Married,Children,Uneducated,Training and Development Executive,2,US$ 13676 to US$ 19145,21% to 25%,Workers,8,8,2,Others,1 Year to 3 Years,High,10 to 12 ,Tax
568,Memphis,Men,Married,Children,Primary,Top Executives,5,Above US$ 30086,Above 26%,Workers,2,4,2,Social Media,7 Years to 9 Years,Low,1 to 4,Status
569,Houston,Men,Married,Mature Working,Middle,Marketing and Sales Executive,2,Above US$ 30086,11% to 15%,Friends,4,3,4,Family Reference,7 Years to 9 Years,Low,10 to 12 ,Status
570,Houston,Women,Never Married,Elderly,Teritary,Marketing and Sales Executive,1,US$ 19146 to US$ 24615,16% to 20%,Television,8,4,3,Institutions,7 Years to 9 Years,Medium,Negative Return,Status
571,San Francisco,Men,Never Married,Children,Teritary,Advertising and Promotion Executive,4,US$ 8206 to US$ 13675,21% to 25%,Magazine,1,5,1,Friends Reference,1 Year to 3 Years,Low,More than 13,Return
572,Memphis,Men,Married,Prime Working,Primary,Marketing and Sales Executive,5,Above US$ 30086,11% to 15%,Television,10,6,3,Institutions,Less Than 1 Year,Medium,More than 13,Return
573,Memphis,Men,Married,Prime Working,Secondary,Marketing and Sales Executive,3,Above US$ 30086,Don't Want to Reveal,Television,4,10,1,Friends Reference,Less Than 1 Year,Low,10 to 12 ,Status
574,New York,Men,Never Married,Mature Working,Primary,Training and Development Executive,3,US$ 2736 to US$ 8205,6% to 10%,Workers,8,2,2,Friends Reference,Above 9 Years,Low,Negative Return,Return
575,New York,Men,Married,Early Working,Uneducated,Marketing and Sales Executive,1,US$ 19146 to US$ 24615,11% to 15%,Others,1,5,1,Institutions,Above 9 Years,High,More than 13,Inflation
576,Seattle,Men,Married,Mature Working,Teritary,Advertising and Promotion Executive,3,US$ 24616 to US$ 30085,Upto 5%,Magazine,5,9,2,Intermediaries,4 Years to 6 Years,High,7 to 9,Inflation
577,Seattle,Women,Married,Prime Working,Middle,Top Executives,4,US$ 13676 to US$ 19145,Don't Want to Reveal,Television,4,6,6,Friends Reference,Above 9 Years,High,7 to 9,Return
578,Seattle,Men,Never Married,Children,Primary,Training and Development Executive,2,US$ 2735,6% to 10%,Family,9,6,2,Workers Reference,1 Year to 3 Years,High,7 to 9,Return
